X,Y
1.21,-0.155
1.212,-0.135
1.214,-0.02
1.216,-0.015
1.218,0.005
1.22,-0.01
1.222,-0.03
1.224,-0.105
1.226,-0.145
1.228,-0.1
1.23,-0.19
1.232,-0.2
1.234,-0.185
1.236,-0.1
1.238,-0.05
1.24,0.025
1.242,-0.005
1.244,-0.105
1.246,-0.055
1.248,-0.055
1.25,-0.06
1.252,-0.13
1.254,-0.09
1.256,-0.025
1.258,-0.07
1.26,0.005
1.262,-0.04
1.264,-0.105
1.266,-0.145
1.268,-0.09
1.27,-0.075
1.272,-0.105
1.274,-0.125
1.276,-0.11
1.278,0
1.28,-0.07
1.282,-0.075
1.284,-0.125
1.286,-0.205
1.288,-0.13
1.29,-0.08
1.292,-0.17
1.294,-0.24
1.296,-0.125
1.298,0.145
1.3,0.045
1.302,-0.05
1.304,-0.045
1.306,-0.065
1.308,-0.125
1.31,-0.12
1.312,-0.095
1.314,-0.09
1.316,-0.065
1.318,-0.05
1.32,-0.01
1.322,-0.025
1.324,-0.155
1.326,-0.155
1.328,-0.125
1.33,-0.075
1.332,-0.09
1.334,-0.09
1.336,-0.06
1.338,-0.075
1.34,-0.11
1.342,-0.17
1.344,-0.115
1.346,-0.08
1.348,-0.065
1.35,-0.11
1.352,-0.075
1.354,-0.025
1.356,-0.01
1.358,0.01
1.36,-0.03
1.362,-0.055
1.364,-0.105
1.366,-0.12
1.368,-0.11
1.37,-0.15
1.372,-0.065
1.374,0.005
1.376,0.015
1.378,-0.055
1.38,-0.09
1.382,-0.07
1.384,-0.02
1.386,0.005
1.388,0.045
1.39,-0.09
1.392,-0.08
1.394,0
1.396,0.09
1.398,0.07
1.4,0.055
1.402,-0.07
1.404,-0.155
1.406,-0.08
1.408,-0.085
1.41,-0.025
1.412,0.015
1.414,0.005
1.416,-0.02
1.418,-0.025
1.42,-0.045
1.422,-0.04
1.424,-0.035
1.426,-0.14
1.428,-0.255
1.43,-0.215
1.432,-0.135
1.434,-0.03
1.436,-0.005
1.438,0.04
1.44,-0.035
1.442,-0.195
1.444,-0.23
1.446,-0.115
1.448,-0.145
1.45,-0.095
1.452,-0.03
1.454,-0.015
1.456,-0.05
1.458,-0.095
1.46,-0.125
1.462,-0.165
1.464,-0.12
1.466,-0.11
1.468,-0.115
1.47,-0.185
1.472,-0.1
1.474,-0.015
1.476,-0.025
1.478,0.01
1.48,-0.045
1.482,-0.085
1.484,-0.135
1.486,-0.19
1.488,-0.155
1.49,-0.11
1.492,-0.12
1.494,-0.1
1.496,-0.06
1.498,-0.04
1.5,-0.035
1.502,-0.125
1.504,-0.155
1.506,-0.235
1.508,-0.235
1.51,-0.22
1.512,-0.135
1.514,-0.065
1.516,-0.135
1.518,-0.17
1.52,-0.085
1.522,-0.085
1.524,-0.05
1.526,0.02
1.528,-0.04
1.53,0.06
1.532,0.16
1.534,0.295
1.536,0.495
1.538,0.565
1.54,0.675
1.542,0.8
1.544,0.81
1.546,0.755
1.548,0.7
1.55,0.6
1.552,0.475
1.554,0.385
1.556,0.315
1.558,0.24
1.56,0.03
1.562,-0.115
1.564,-0.21
1.566,-0.26
1.568,-0.3
1.57,-0.265
1.572,-0.18
1.574,-0.14
1.576,-0.09
1.578,0
1.58,-0.01
1.582,-0.025
1.584,-0.145
1.586,-0.2
1.588,-0.285
1.59,-0.16
1.592,-0.025
1.594,-0.05
1.596,-0.035
1.598,-0.03
1.6,-0.01
1.602,-0.005
1.604,-0.07
1.606,-0.145
1.608,-0.185
1.61,-0.165
1.612,-0.13
1.614,-0.125
1.616,-0.1
1.618,-0.025
1.62,0.11
1.622,-0.015
1.624,-0.105
1.626,-0.05
1.628,-0.075
1.63,-0.095
1.632,-0.03
1.634,0.01
1.636,-0.02
1.638,-0.01
1.64,-0.095
1.642,-0.095
1.644,-0.03
1.646,-0.075
1.648,-0.04
1.65,-0.075
1.652,0.005
1.654,0.045
1.656,0
1.658,0.01
1.66,-0.135
1.662,-0.085
1.664,-0.01
1.666,-0.03
1.668,-0.075
1.67,-0.04
1.672,-0.06
1.674,-0.03
1.676,-0.015
1.678,-0.015
1.68,-0.065
1.682,-0.085
1.684,-0.085
1.686,0
1.688,0.1
1.69,0.04
1.692,-0.06
1.694,0.07
1.696,0.085
1.698,0.05
1.7,0.01
1.702,0.015
1.704,0
1.706,0.015
1.708,-0.02
1.71,0.035
1.712,0.095
1.714,0.115
1.716,0.14
1.718,0.195
1.72,0.08
1.722,-0.03
1.724,0.01
1.726,-0.03
1.728,0.105
1.73,0.08
1.732,0.045
1.734,0.14
1.736,0.23
1.738,0.23
1.74,0.125
1.742,0.09
1.744,0.2
1.746,0.165
1.748,0.1
1.75,0.14
1.752,0.205
1.754,0.245
1.756,0.28
1.758,0.215
1.76,0.055
1.762,0.02
1.764,0.19
1.766,0.205
1.768,0.195
1.77,0.175
1.772,0.25
1.774,0.31
1.776,0.22
1.778,0.215
1.78,0.22
1.782,0.145
1.784,0.165
1.786,0.14
1.788,0.13
1.79,0.085
1.792,0.16
1.794,0.175
1.796,0.14
1.798,0.165
1.8,0.045
1.802,0.015
1.804,-0.025
1.806,0.015
1.808,-0.02
1.81,0.03
1.812,0.075
1.814,0.03
1.816,0.03
1.818,-0.025
1.82,-0.175
1.822,-0.025
1.824,0.01
1.826,-0.015
1.828,-0.045
1.83,-0.015
1.832,-0.02
1.834,-0.07
1.836,-0.05
1.838,0.03
1.84,0
1.842,-0.025
1.844,-0.03
1.846,-0.045
1.848,-0.21
1.85,-0.095
1.852,-0.055
1.854,-0.045
1.856,-0.045
1.858,-0.07
1.86,-0.07
1.862,-0.15
1.864,-0.145
1.866,-0.09
1.868,-0.065
1.87,-0.045
1.872,-0.04
1.874,-0.06
1.876,-0.055
1.878,-0.135
1.88,-0.2
1.882,-0.17
1.884,-0.16
1.886,-0.14
1.888,-0.09
1.89,-0.005
1.892,0.045
1.894,0.04
1.896,-0.015
1.898,0.005
1.9,-0.1
1.902,-0.165
1.904,-0.11
1.906,-0.12
1.908,-0.12
1.91,-0.11
1.912,-0.055
1.914,-0.05
1.916,-0.01
1.918,-0.02
1.92,0.02
1.922,-0.11
1.924,-0.115
1.926,-0.16
1.928,-0.14
1.93,-0.115
1.932,-0.07
1.934,-0.02
1.936,-0.075
1.938,-0.055
1.94,-0.035
1.942,-0.11
1.944,-0.07
1.946,-0.04
1.948,-0.07
1.95,-0.05
1.952,-0.02
1.954,0.035
1.956,-0.02
1.958,-0.015
1.96,-0.08
1.962,-0.15
1.964,-0.23
1.966,-0.095
1.968,-0.095
1.97,-0.085
1.972,0.045
1.974,0.015
1.976,0.01
1.978,-0.025
1.98,-0.065
1.982,-0.105
1.984,-0.1
1.986,-0.155
1.988,-0.165
1.99,-0.13
1.992,-0.065
1.994,0.02
1.996,0.065
1.998,-0.03
2,-0.1
2.002,-0.125
2.004,-0.14
2.006,-0.11
2.008,-0.11
2.01,-0.09
2.012,0.015
2.014,-0.01
2.016,-0.03
2.018,-0.06
2.02,-0.055
2.022,-0.115
2.024,-0.155
2.026,-0.095
2.028,-0.12
2.03,-0.08
2.032,-0.03
